0	0	0	250	
0	0	0	250	
0	0	0	250	
-7.38207e-11	-7.38207e-11	1.3587e-10	250	
-3.73839e-10	-3.73839e-10	1.01093e-09	250	
-9.22379e-10	-9.22379e-10	3.84129e-09	250	
-1.77409e-09	-1.77409e-09	8.0626e-09	250	
-3.14687e-09	-3.14687e-09	1.39491e-08	250	
-5.08771e-09	-5.08771e-09	2.1425e-08	250	
-7.89416e-09	-7.89416e-09	3.06832e-08	250	
-1.15247e-08	-1.15247e-08	4.14055e-08	250	
-1.87819e-08	-1.87819e-08	5.43894e-08	250	
-2.45331e-08	-2.45331e-08	6.62736e-08	250	
-3.24254e-08	-3.24254e-08	7.98366e-08	250	
-4.24145e-08	-4.24145e-08	9.49621e-08	250	
-4.79742e-08	-4.79742e-08	1.11301e-07	250	
-6.83383e-08	-6.83383e-08	1.29323e-07	250	
-8.42335e-08	-8.42335e-08	1.48147e-07	250	
-1.06279e-07	-1.06279e-07	1.71561e-07	250	
-1.27731e-07	-1.27731e-07	1.95561e-07	250	
-1.5331e-07	-1.5331e-07	2.19653e-07	250	
-1.86696e-07	-1.86696e-07	2.48523e-07	250	
-2.2483e-07	-2.2483e-07	2.81292e-07	250	
-2.46854e-07	-2.46854e-07	3.17417e-07	250	
-3.26407e-07	-3.26407e-07	3.61731e-07	250	
-3.91584e-07	-3.91584e-07	4.13667e-07	250	
-4.62154e-07	-4.62154e-07	4.72514e-07	250	
-5.31508e-07	-5.31508e-07	5.31127e-07	250	
-5.83468e-07	-5.83468e-07	5.96039e-07	250	
-7.22908e-07	-7.22908e-07	6.66621e-07	250	
-8.32841e-07	-8.32841e-07	7.42084e-07	250	
-8.78301e-07	-8.78301e-07	8.1445e-07	250	
-1.06752e-06	-1.06752e-06	8.91165e-07	250	
-1.20411e-06	-1.20411e-06	9.71902e-07	250	
-1.35808e-06	-1.35808e-06	1.05596e-06	250	
-1.52453e-06	-1.52453e-06	1.14277e-06	249.999	
-1.61609e-06	-1.61609e-06	1.23171e-06	249.999	
-1.89241e-06	-1.89241e-06	1.32194e-06	249.999	
-2.13328e-06	-2.13328e-06	1.42299e-06	249.999	
-2.2439e-06	-2.2439e-06	1.52333e-06	249.999	
-2.6267e-06	-2.6267e-06	1.63157e-06	249.999	
-2.87969e-06	-2.87969e-06	1.73778e-06	249.999	
-3.00932e-06	-3.00932e-06	1.84102e-06	249.999	
-3.47552e-06	-3.47552e-06	1.95223e-06	249.999	
-3.83064e-06	-3.83064e-06	2.07111e-06	249.999	
-4.13643e-06	-4.13643e-06	2.1841e-06	249.999	
-4.53376e-06	-4.53376e-06	2.30289e-06	249.999	
-4.69541e-06	-4.69541e-06	2.41438e-06	249.999	
-5.13293e-06	-5.13293e-06	2.53186e-06	249.999	
-5.72222e-06	-5.72222e-06	2.64154e-06	249.999	
-5.97821e-06	-5.97821e-06	2.75593e-06	249.999	
-6.63114e-06	-6.63114e-06	2.86187e-06	249.999	
-6.90706e-06	-6.90706e-06	2.9737e-06	249.999	
-7.62692e-06	-7.62692e-06	3.07642e-06	249.999	
-8.21484e-06	-8.21484e-06	3.18324e-06	249.999	
-8.41784e-06	-8.41784e-06	3.28181e-06	249.998	
-9.24368e-06	-9.24368e-06	3.37121e-06	249.998	
-9.56747e-06	-9.56747e-06	3.46744e-06	249.998	
-1.04687e-05	-1.04687e-05	3.55376e-06	249.998	
-1.10639e-05	-1.10639e-05	3.63239e-06	249.998	
-1.16806e-05	-1.16806e-05	3.70423e-06	249.998	
-1.23189e-05	-1.23189e-05	3.77003e-06	249.998	
-1.25395e-05	-1.25395e-05	3.8304e-06	249.998	
-1.3257e-05	-1.3257e-05	3.88714e-06	249.998	
-1.33551e-05	-1.33551e-05	3.92599e-06	249.998	
-1.45401e-05	-1.45401e-05	3.96132e-06	249.998	
-1.54211e-05	-1.54211e-05	4.01031e-06	249.998	
-1.55022e-05	-1.55022e-05	4.04188e-06	249.998	
-1.68253e-05	-1.68253e-05	4.07159e-06	249.998	
-1.68916e-05	-1.68916e-05	4.08623e-06	249.998	
-1.83111e-05	-1.83111e-05	4.10153e-06	249.998	
-1.85252e-05	-1.85252e-05	4.11897e-06	249.998	
-1.91906e-05	-1.91906e-05	4.12374e-06	249.998	
-1.98723e-05	-1.98723e-05	4.11805e-06	249.998	
-2.05705e-05	-2.05705e-05	4.10319e-06	249.998	
-2.22497e-05	-2.22497e-05	4.09201e-06	249.998	
-2.2247e-05	-2.2247e-05	4.07438e-06	249.998	
-2.38289e-05	-2.38289e-05	4.04908e-06	249.998	
-2.35122e-05	-2.35122e-05	4.00617e-06	249.998	
-2.42969e-05	-2.42969e-05	3.96134e-06	249.998	
-2.4788e-05	-2.4788e-05	3.90341e-06	249.998	
-2.52866e-05	-2.52866e-05	3.83403e-06	249.998	
-2.58767e-05	-2.58767e-05	3.75706e-06	249.998	
-2.63912e-05	-2.63912e-05	3.67338e-06	249.998	
-2.70037e-05	-2.70037e-05	3.58597e-06	249.998	
-2.75349e-05	-2.75349e-05	3.49515e-06	249.998	
-2.80751e-05	-2.80751e-05	3.40345e-06	249.998	
-2.8724e-05	-2.8724e-05	3.31021e-06	249.998	
-2.92826e-05	-2.92826e-05	3.21662e-06	249.998	
-2.99572e-05	-2.99572e-05	3.12433e-06	249.998	
-3.05351e-05	-3.05351e-05	3.03337e-06	249.998	
-3.07818e-05	-3.07818e-05	2.9338e-06	249.999	
-3.13831e-05	-3.13831e-05	2.8372e-06	249.999	
-3.16317e-05	-3.16317e-05	2.73535e-06	249.999	
